Hip Filtered,Knee Filtered,Ankle Filtered,Left Heel Values
22.290734314903034,37.81510879293621,56.81340711315888,"(0.045496730110378164, 0.7696669007954157, 0.24160281905953432)"
19.7148939792223,33.19662820190775,61.337034267365254,"(0.05247669249171338, 0.7619446555893636, 0.24000462647565451)"
20.36191464632461,34.4219846056175,59.71102075090581,"(0.06718463408397865, 0.7612656507969784, 0.25008562465351153)"
22.4830062330575,38.0743826162222,54.930519682428674,"(0.08197134680079433, 0.7691258048923612, 0.2614281538297859)"
22.09040907009644,36.95601759226215,54.86757269175083,"(0.0894401266350607, 0.775408180671451, 0.26831290924846074)"
19.338828802718204,31.196122301122312,59.75787214577059,"(0.08544220570111936, 0.7738762336863115, 0.2651347681080926)"
17.349152774432326,27.155282016415203,64.30673281470321,"(0.07541623868901931, 0.7742626799793807, 0.24969354445768638)"
18.573961214286406,30.810324283198216,64.66827455721426,"(0.06638553031719394, 0.7787046822981852, 0.22031975537980017)"
21.770229440216628,38.46755461412345,62.88317677951872,"(0.06055308136682941, 0.7818043227605246, 0.1817193432534822)"
22.9767253811075,40.822081268466974,63.15590893922793,"(0.05520658191006183, 0.7776499501105886, 0.1578340868807008)"
21.486301529910257,36.707487300558604,66.44313110940377,"(0.049186877105830064, 0.7646388893211594, 0.1632025644785018)"
19.86258423841003,31.747726792060593,69.44584037689572,"(0.048940753798533174, 0.7569454027355161, 0.1804017940918143)"
20.934487085506692,31.962494341642948,67.23728729309839,"(0.057151680299446866, 0.7615606534271673, 0.1894105103961273)"
23.669764050638413,35.832187444378306,61.003498941122125,"(0.06869656477340273, 0.7722950123746773, 0.19082668619091675)"
24.06899049306034,35.96200258212287,58.20589305395918,"(0.07411356014133266, 0.779306552373047, 0.19075114219524222)"
21.900072144795743,31.385059306436773,60.850834920199055,"(0.06713427675588582, 0.7754494620573285, 0.1902065219779785)"
19.893416298293428,27.070560548239964,64.50181633419878,"(0.058029923490994256, 0.7685042774022908, 0.18875558883830648)"
19.775860367637502,27.90427217260541,65.34390874094063,"(0.05944969461867902, 0.7666830402613065, 0.1844455277001228)"
20.054400940265683,32.625551921706524,64.27560131266486,"(0.07057994856833616, 0.7678828414431927, 0.18766125821143242)"
18.51947229126,34.64549890653823,64.45351607550516,"(0.07895009803726792, 0.7683129740338094, 0.2046177669250007)"
16.418457936355573,32.4918221529588,66.7913296230086,"(0.0755688495845428, 0.767233313590831, 0.21561913957816295)"
15.275154808697367,28.74807909101031,70.28077439062172,"(0.07227807720053384, 0.7670161773347547, 0.21515615529607693)"
15.394561535814296,26.816518617143085,72.44949926588437,"(0.07847467813495827, 0.7688486486015433, 0.2169482727094085)"
16.404533171921983,28.13165689974999,72.11985371251464,"(0.08887097033906229, 0.7711142883966239, 0.22963404554757413)"
16.960211114289756,29.314720998350303,71.96091411582368,"(0.09463333285151831, 0.7718341744607248, 0.2517639705677614)"
17.27922230478156,28.314567607700226,74.12776424399573,"(0.09024283684797932, 0.7730626084140289, 0.26473030479779747)"
17.307261254463082,26.07257083675341,77.40627652905175,"(0.08430924506772246, 0.7781806089332014, 0.2653524920298653)"
16.870996775104217,25.555653932758002,77.5770355554944,"(0.08635878509559765, 0.7854022454590763, 0.26983095443985383)"
16.83724891240092,28.595906678758737,72.80279292860806,"(0.09553658449546798, 0.7911307436303282, 0.28281135926674233)"
16.70046999299856,31.00314040793254,68.2585273324211,"(0.10077568623659752, 0.7917818105443227, 0.2963178449748844)"
16.349083075542016,29.548910758291832,67.44798679507593,"(0.09270245385150432, 0.788834147008377, 0.29536551299315505)"
16.555387498330628,26.19195473939719,68.16005454147906,"(0.0802542438071636, 0.788995590664661, 0.2778914562217467)"
17.500598454616224,24.58790007827978,68.06570129537565,"(0.07361870862304078, 0.7931825190137569, 0.2555257342223078)"
18.61918266800045,25.278315621203586,67.04096443518196,"(0.07314033451543521, 0.7973900339446816, 0.23766167849495878)"
18.53511762645298,25.219066470930844,67.03554176968028,"(0.07669018186788015, 0.7984379956456474, 0.2290597192341871)"
17.32894317566279,23.624123291257565,68.88368983022718,"(0.08188197218559774, 0.7963117718738607, 0.22546534427234408)"
16.38693358687295,22.93194698845606,71.09231901066863,"(0.08929841380090497, 0.7936662472573287, 0.21796624689081595)"
16.800390510207425,25.45735715783478,71.63970483421298,"(0.10049439504996342, 0.7917344451471395, 0.20449581691949353)"
17.410673335577105,28.91129077707283,70.35834952409043,"(0.11311503641627363, 0.7895152078921335, 0.19797032199004047)"
16.281687637791,29.46409126970827,69.5564989255681,"(0.11777520351756446, 0.7811574886816873, 0.21078523070185623)"
14.721520517074143,27.71457170891279,70.44407802195312,"(0.10723149295302574, 0.7655717727941771, 0.23157377313220412)"
14.604477640021836,27.21809430743575,71.48774448256695,"(0.08916773089068006, 0.753671990469123, 0.24240572804626262)"
16.279671037871523,31.122985231945226,70.67953916886512,"(0.07387580677889544, 0.7504367530000569, 0.24100452578391174)"
18.922248011443504,36.68042288567984,67.88164507914544,"(0.06345603209221368, 0.7521586468129903, 0.2349656287263599)"
20.024480986206857,38.012974036928156,65.92585783334077,"(0.05652928079174047, 0.753022680905002, 0.23106898572260862)"
19.525291007936172,35.12069717754719,66.72398852101115,"(0.054809099982628756, 0.7510506902012312, 0.23063295904211586)"
19.357768226780085,32.5831169206086,68.73334232071886,"(0.06211566535720851, 0.7518970134198272, 0.23253238866927073)"
21.132822203634074,34.92932516920093,69.0363491417941,"(0.07332797426825176, 0.7558400261645397, 0.2357809776709589)"
23.941987244908358,39.49831082440413,67.09136806125368,"(0.08081438834031264, 0.7590959517243344, 0.23936924364062595)"
24.969904527019118,39.46300947396512,66.11935690219293,"(0.08208310148610025, 0.7589519090907025, 0.2429582708210045)"
24.07979178108772,34.788543253942336,68.11891743401662,"(0.0793799994624644, 0.756290850012981, 0.24440626942839652)"
22.5675441864505,29.881827916295414,71.39959810844478,"(0.08004200751199923, 0.7584185531743045, 0.2407851788166774)"
22.329866837305133,30.13956530389237,72.3567473236415,"(0.08561597889398942, 0.7660828349186832, 0.23331620372502876)"
23.94126700629374,35.5311858336021,69.78062444837784,"(0.09233392995441664, 0.7737845031770694, 0.22827515401326332)"
24.525819096321296,38.44637830629702,67.75777792978123,"(0.09656645059125299, 0.7770866472400665, 0.22940805299615222)"
23.291872208756363,36.181514784376034,69.20439329889275,"(0.09555270817333075, 0.7752180569009902, 0.22925095881445864)"
22.32798263465826,33.114244662299996,71.57146957581921,"(0.09238061194043026, 0.7732063937499857, 0.221129534671003)"
23.52235137710726,34.92635323572379,70.39290487728479,"(0.09174085749114978, 0.7738136963688891, 0.2096646099656902)"
26.679580948814806,41.49270659340892,65.57390449574008,"(0.09648615514109721, 0.7756664345484863, 0.20070251811997675)"
28.27676102954223,45.055997669315325,63.16997531475127,"(0.10412781848295578, 0.7756555713581392, 0.19574565056323348)"
26.777283596056257,41.967312889968255,66.34580389919915,"(0.10812391034466186, 0.7724330601606249, 0.19327193328723313)"
23.543191232450802,35.51174796643761,71.90775349961595,"(0.11049198747711157, 0.7705398667544302, 0.1911249336317461)"
20.90524016796909,31.872934280144726,73.56354264326552,"(0.11578605703884325, 0.7728647254585249, 0.19044745131540652)"
20.499927795834168,33.85952493349412,68.48663060724546,"(0.12185588348066559, 0.7770970580957879, 0.1928782443880929)"
20.66805732417384,35.41393786197414,62.154924817171256,"(0.12178545778748354, 0.7775969717535511, 0.1968473410290931)"
20.084149445093523,32.42206097200733,60.744363102507016,"(0.11012802601079104, 0.7700101018253188, 0.20010460095516558)"
19.904979822223265,28.25475058403654,64.064108463966,"(0.09456102497903716, 0.7606347220697496, 0.20185606062979458)"
20.623665250883167,27.192212281101757,66.98721234284658,"(0.09005162942384372, 0.7581717966299213, 0.2061620795126553)"
22.220566684007235,30.769112675883562,65.62064051172466,"(0.10013130919878926, 0.7617694778137029, 0.21730100266634855)"
23.453772432444406,35.01790947584719,62.52710732911936,"(0.11541183215705392, 0.7655469372506498, 0.23175292922196067)"
22.64816784550413,35.035675527379524,62.25281844861639,"(0.12308873191274101, 0.7628581736299559, 0.24466847520901727)"
20.653181073893194,31.48361645471081,64.9178197135108,"(0.11970951461101167, 0.7550957387065577, 0.2507002624792584)"
18.585268580997887,27.59373047754407,68.23236862586282,"(0.1158990731297517, 0.7510709549423419, 0.24943640139560042)"
